StudentID,FirstName,LastName,Email,Phone,Major,Year
58,Alice,Jones,bob848@university.edu,,Biology,Year 1
59,Charlie,Brown,charlie920@university.edu,,CS,Year 4
60,Edward,Williams,diana784@university.edu,123-456-7890,,Year 4
61,Charlie,Brown,diana575@college.edu,123-456-7890,Biology,Year 4
62,George,Jones,bob733@college.edu,345-678-9012,Biology,Year 3
63,Edward,Johnson,charlie675@college.edu,123-456-7890,,Year 1
64,Alice,Brown,bob921@university.edu,123-456-7890,Biology,Year 4
65,George,Johnson,bob804@university.edu,345-678-9012,Biology,Year 2
66,Bob,Williams,bob792@college.edu,123-456-7890,Biology,Year 2
67,Diana,Smith,charlie470@college.edu,234-567-8901,Math,Year 2
68,Alice,Williams,diana128@university.edu,,,Year 2
69,Diana,Brown,charlie878@college.edu,,Biology,Year 3
70,Fiona,Johnson,alice110@college.edu,,,Year 4
71,Bob,Johnson,charlie775@university.edu,,Physics,Year 1
72,Bob,Jones,charlie286@university.edu,345-678-9012,Physics,Year 4
73,Alice,Johnson,charlie843@university.edu,,Biology,Year 3
74,Bob,Jones,charlie409@college.edu,,,Year 2
75,Edward,Smith,diana154@university.edu,,,Year 3
76,Bob,Brown,alice763@college.edu,,,Year 4
77,Diana,Jones,diana505@university.edu,234-567-8901,Math,Year 1
78,Diana,Smith,diana411@university.edu,,Physics,Year 3
79,George,Johnson,charlie861@college.edu,234-567-8901,,Year 1
80,Diana,Johnson,bob850@college.edu,345-678-9012,,Year 3
81,George,Smith,bob566@university.edu,123-456-7890,Math,Year 1
82,Diana,Johnson,diana343@university.edu,,Math,Year 1
83,Edward,Smith,diana948@college.edu,123-456-7890,,Year 2
84,Hannah,Jones,charlie606@university.edu,123-456-7890,CS,Year 1
85,George,Jones,diana581@university.edu,345-678-9012,,Year 2
86,Charlie,Smith,charlie253@college.edu,123-456-7890,,Year 4
87,Fiona,Jones,bob600@university.edu,234-567-8901,Math,Year 4
88,Alice,Jones,bob812@college.edu,123-456-7890,Math,Year 2
89,Diana,Jones,alice116@university.edu,123-456-7890,,Year 2
90,Bob,Williams,bob316@university.edu,123-456-7890,,Year 3
91,Hannah,Brown,diana715@college.edu,,,Year 3
92,Diana,Johnson,bob124@university.edu,,Math,Year 3
93,Bob,Williams,charlie902@university.edu,234-567-8901,,Year 4
94,Fiona,Jones,bob597@university.edu,234-567-8901,,Year 3
95,Fiona,Smith,alice207@college.edu,,Biology,Year 1
96,Fiona,Jones,bob534@college.edu,234-567-8901,CS,Year 1
97,Bob,Brown,charlie201@college.edu,,Physics,Year 3
98,Diana,Jones,charlie623@university.edu,345-678-9012,CS,Year 1
99,Fiona,Smith,diana712@college.edu,123-456-7890,Biology,Year 4
100,Edward,Brown,bob916@university.edu,123-456-7890,Physics,Year 1
101,George,Jones,charlie116@college.edu,234-567-8901,,Year 4
102,Bob,Brown,alice668@university.edu,,Biology,Year 2
103,Bob,Johnson,diana596@university.edu,,,Year 2
104,Diana,Johnson,alice111@college.edu,234-567-8901,Math,Year 2
105,Bob,Jones,bob691@college.edu,,Biology,Year 2
106,Bob,Brown,bob438@college.edu,345-678-9012,Math,Year 1
107,Fiona,Smith,bob760@university.edu,123-456-7890,Biology,Year 3
108,Diana,Jones,diana826@university.edu,234-567-8901,Biology,Year 1
109,Fiona,Johnson,charlie473@college.edu,234-567-8901,Math,Year 4
110,George,Johnson,diana809@college.edu,,Physics,Year 1
111,Hannah,Jones,alice636@college.edu,234-567-8901,CS,Year 1
112,George,Brown,diana188@college.edu,345-678-9012,,Year 4
113,Hannah,Johnson,alice754@university.edu,,Biology,Year 2
114,Fiona,Brown,diana588@university.edu,,,Year 2
115,George,Johnson,charlie637@university.edu,,Math,Year 2
116,Diana,Johnson,alice387@college.edu,,,Year 3
117,Alice,Williams,bob115@university.edu,345-678-9012,Math,Year 4
118,Fiona,Johnson,bob500@university.edu,,,Year 4
119,Hannah,Smith,diana893@university.edu,234-567-8901,CS,Year 1
120,Edward,Jones,bob185@college.edu,345-678-9012,CS,Year 3
121,Hannah,Jones,alice490@college.edu,123-456-7890,CS,Year 2
122,Edward,Brown,bob434@university.edu,123-456-7890,CS,Year 3
123,Bob,Johnson,charlie618@university.edu,234-567-8901,CS,Year 4
124,George,Smith,charlie982@college.edu,234-567-8901,CS,Year 4
125,Edward,Brown,diana939@college.edu,345-678-9012,Math,Year 1
126,Hannah,Williams,alice926@university.edu,123-456-7890,Biology,Year 1
127,Bob,Brown,charlie576@college.edu,123-456-7890,,Year 4
128,Alice,Brown,charlie322@college.edu,123-456-7890,CS,Year 2
129,Diana,Johnson,alice471@university.edu,123-456-7890,Math,Year 2
130,Diana,Williams,bob501@university.edu,123-456-7890,Math,Year 3
131,Diana,Brown,bob589@university.edu,,Math,Year 4
132,Edward,Smith,diana372@college.edu,234-567-8901,Biology,Year 4
133,Alice,Smith,bob258@college.edu,,,Year 2
134,Edward,Jones,alice719@college.edu,123-456-7890,Biology,Year 2
135,George,Williams,charlie912@college.edu,345-678-9012,Physics,Year 4
136,Edward,Williams,bob230@university.edu,345-678-9012,Math,Year 1
137,Alice,Jones,diana270@college.edu,123-456-7890,Physics,Year 4
138,Alice,Brown,bob282@university.edu,123-456-7890,CS,Year 4
139,George,Williams,alice463@university.edu,345-678-9012,CS,Year 2
140,Alice,Smith,diana626@college.edu,,Biology,Year 2
141,Hannah,Smith,bob596@college.edu,,,Year 1
142,Alice,Johnson,diana448@college.edu,123-456-7890,Physics,Year 1
143,Diana,Williams,alice496@college.edu,,,Year 3
144,Hannah,Brown,charlie260@college.edu,345-678-9012,Biology,Year 4
145,Hannah,Jones,alice592@college.edu,,CS,Year 2
146,George,Jones,alice207@college.edu,123-456-7890,,Year 1
147,Charlie,Brown,alice549@university.edu,345-678-9012,,Year 3
148,Charlie,Johnson,alice838@college.edu,,CS,Year 3
149,Alice,Jones,charlie645@college.edu,234-567-8901,Physics,Year 2
150,Hannah,Williams,charlie350@university.edu,345-678-9012,CS,Year 2
151,Charlie,Johnson,diana880@university.edu,345-678-9012,,Year 3
152,Charlie,Williams,bob373@college.edu,234-567-8901,Physics,Year 1
153,Alice,Smith,charlie707@university.edu,234-567-8901,Physics,Year 3
154,Charlie,Johnson,charlie990@university.edu,345-678-9012,CS,Year 4
155,Edward,Jones,bob913@college.edu,234-567-8901,,Year 4
156,Bob,Johnson,charlie128@college.edu,123-456-7890,Biology,Year 2
157,George,Johnson,alice576@college.edu,123-456-7890,,Year 1
158,Bob,Johnson,alice344@college.edu,123-456-7890,Math,Year 1
159,Alice,Johnson,bob796@college.edu,345-678-9012,Biology,Year 4
160,Diana,Williams,diana539@college.edu,234-567-8901,Physics,Year 3
161,George,Smith,diana338@university.edu,234-567-8901,Biology,Year 2
162,Alice,Brown,bob365@college.edu,,Physics,Year 3
163,Hannah,Johnson,bob458@college.edu,,Physics,Year 3
164,Diana,Jones,alice488@university.edu,234-567-8901,Biology,Year 3
165,Bob,Johnson,diana788@university.edu,234-567-8901,Physics,Year 1
166,Alice,Jones,charlie528@college.edu,234-567-8901,Physics,Year 4
167,Hannah,Williams,alice475@college.edu,345-678-9012,Math,Year 1
168,George,Jones,bob423@college.edu,234-567-8901,,Year 4
169,George,Brown,diana392@university.edu,,,Year 2
170,Fiona,Smith,charlie531@university.edu,345-678-9012,Math,Year 2
171,Hannah,Jones,charlie684@university.edu,234-567-8901,Biology,Year 3
172,Edward,Jones,alice916@university.edu,,CS,Year 4
173,Charlie,Smith,diana443@college.edu,345-678-9012,CS,Year 4
174,Diana,Brown,diana239@university.edu,234-567-8901,CS,Year 4
175,Hannah,Johnson,bob904@university.edu,234-567-8901,Math,Year 3
176,Fiona,Jones,diana479@college.edu,234-567-8901,Math,Year 3
177,Charlie,Smith,diana906@college.edu,345-678-9012,Physics,Year 2
178,Charlie,Williams,alice418@college.edu,,CS,Year 1
179,Alice,Smith,diana443@university.edu,,Biology,Year 4
180,Charlie,Williams,charlie161@university.edu,123-456-7890,Biology,Year 4
181,Edward,Brown,alice325@university.edu,234-567-8901,CS,Year 1
182,George,Johnson,alice810@college.edu,123-456-7890,CS,Year 4
183,Fiona,Smith,bob871@university.edu,123-456-7890,CS,Year 3
184,Charlie,Jones,diana683@college.edu,,Math,Year 3
185,Alice,Brown,bob960@university.edu,345-678-9012,Math,Year 4
186,Edward,Smith,charlie409@university.edu,345-678-9012,Math,Year 3
187,Bob,Jones,alice342@university.edu,,,Year 3
188,George,Smith,alice465@college.edu,345-678-9012,Biology,Year 4
189,George,Williams,alice206@college.edu,123-456-7890,Biology,Year 2
190,Fiona,Smith,charlie924@college.edu,234-567-8901,Physics,Year 1
191,George,Smith,charlie852@college.edu,,Math,Year 3
192,Charlie,Smith,bob358@college.edu,234-567-8901,,Year 2
193,Alice,Brown,bob873@university.edu,345-678-9012,,Year 3
194,George,Smith,bob872@college.edu,234-567-8901,Biology,Year 3
195,George,Jones,diana146@university.edu,345-678-9012,Math,Year 1
196,Bob,Williams,alice788@university.edu,345-678-9012,Physics,Year 3
197,Bob,Williams,alice198@college.edu,123-456-7890,Math,Year 1
198,Diana,Smith,bob989@university.edu,345-678-9012,CS,Year 1
199,Edward,Brown,alice672@university.edu,123-456-7890,Math,Year 1
200,Charlie,Brown,bob589@university.edu,123-456-7890,CS,Year 2
201,George,Jones,diana789@college.edu,123-456-7890,CS,Year 4
202,Hannah,Smith,diana161@university.edu,,Physics,Year 2
203,George,Williams,charlie315@university.edu,,Biology,Year 4
204,Alice,Brown,diana259@university.edu,345-678-9012,Math,Year 4
205,Diana,Smith,bob880@college.edu,123-456-7890,CS,Year 1
206,Edward,Brown,diana992@university.edu,,Math,Year 3
207,Hannah,Brown,charlie188@university.edu,123-456-7890,Biology,Year 1
208,Diana,Williams,alice679@college.edu,234-567-8901,Biology,Year 3
209,Fiona,Johnson,bob456@college.edu,234-567-8901,,Year 4
210,Edward,Jones,alice366@university.edu,234-567-8901,Biology,Year 1
211,George,Jones,charlie422@university.edu,345-678-9012,Physics,Year 3
212,George,Williams,charlie640@university.edu,123-456-7890,CS,Year 2
213,Edward,Brown,charlie294@university.edu,234-567-8901,,Year 3
214,George,Smith,alice837@college.edu,,Physics,Year 1
215,Charlie,Brown,alice269@university.edu,234-567-8901,Math,Year 2
216,Edward,Williams,alice562@college.edu,234-567-8901,CS,Year 3
217,Diana,Jones,alice636@university.edu,234-567-8901,Biology,Year 3
218,Edward,Brown,charlie494@university.edu,345-678-9012,CS,Year 3
219,Hannah,Jones,charlie325@college.edu,,Math,Year 3
220,George,Smith,bob223@university.edu,123-456-7890,,Year 3
221,Charlie,Jones,bob137@college.edu,,,Year 2
222,Charlie,Jones,alice350@university.edu,123-456-7890,,Year 4
223,Fiona,Johnson,diana275@college.edu,345-678-9012,Biology,Year 2
224,Diana,Johnson,diana553@university.edu,345-678-9012,Physics,Year 2
225,Bob,Johnson,charlie415@college.edu,345-678-9012,Physics,Year 2
226,Bob,Jones,charlie895@university.edu,345-678-9012,CS,Year 4
227,Edward,Williams,charlie692@college.edu,123-456-7890,Biology,Year 1
228,Fiona,Jones,bob139@university.edu,234-567-8901,,Year 4
229,Alice,Williams,bob323@college.edu,123-456-7890,,Year 2
230,Edward,Williams,charlie448@university.edu,,Math,Year 3
231,Fiona,Johnson,charlie797@university.edu,345-678-9012,Math,Year 3
232,Diana,Brown,charlie667@college.edu,345-678-9012,,Year 2
233,Diana,Smith,diana965@college.edu,,,Year 3
234,Diana,Johnson,bob958@university.edu,123-456-7890,Biology,Year 2
235,Diana,Johnson,diana848@university.edu,234-567-8901,Physics,Year 3
236,Diana,Brown,diana361@college.edu,234-567-8901,Math,Year 4
237,Fiona,Smith,charlie246@college.edu,,Physics,Year 1
238,Fiona,Jones,charlie267@college.edu,234-567-8901,Biology,Year 1
239,Charlie,Jones,alice452@university.edu,123-456-7890,,Year 4
240,Hannah,Johnson,alice670@college.edu,123-456-7890,Physics,Year 4
241,Bob,Smith,diana780@university.edu,,,Year 2
242,George,Johnson,bob462@university.edu,123-456-7890,,Year 2
243,Diana,Williams,charlie444@university.edu,345-678-9012,CS,Year 2
244,Alice,Johnson,charlie269@college.edu,,Physics,Year 3
245,George,Johnson,diana290@university.edu,123-456-7890,Physics,Year 2
246,Fiona,Jones,alice521@college.edu,,,Year 4
247,Alice,Jones,bob106@university.edu,234-567-8901,Biology,Year 1
248,Alice,Jones,alice846@university.edu,123-456-7890,CS,Year 3
249,Alice,Williams,alice925@university.edu,345-678-9012,,Year 2
250,Charlie,Jones,alice130@university.edu,123-456-7890,Math,Year 3
251,Fiona,Smith,alice525@college.edu,,Math,Year 3
252,Alice,Brown,charlie771@university.edu,,CS,Year 2
253,Diana,Smith,charlie536@college.edu,123-456-7890,Biology,Year 3
254,Edward,Smith,alice650@university.edu,345-678-9012,,Year 1
255,Alice,Jones,bob181@college.edu,345-678-9012,Physics,Year 4
256,Charlie,Brown,diana357@college.edu,345-678-9012,CS,Year 4
257,George,Brown,bob688@university.edu,,Biology,Year 1
258,Fiona,Brown,bob623@university.edu,123-456-7890,Physics,Year 3
259,Hannah,Williams,bob323@university.edu,234-567-8901,Math,Year 2
260,Charlie,Jones,alice145@university.edu,,Math,Year 3
261,Alice,Brown,charlie212@university.edu,345-678-9012,Physics,Year 1
262,Fiona,Williams,bob116@college.edu,123-456-7890,CS,Year 3
263,Edward,Johnson,alice322@college.edu,345-678-9012,Math,Year 4
264,Alice,Johnson,bob799@college.edu,234-567-8901,,Year 3
265,Charlie,Williams,bob955@university.edu,345-678-9012,Physics,Year 1
266,Bob,Williams,alice774@college.edu,345-678-9012,Physics,Year 4
267,Diana,Jones,charlie425@university.edu,234-567-8901,Math,Year 3
268,Hannah,Jones,charlie513@university.edu,123-456-7890,CS,Year 3
269,George,Johnson,diana685@university.edu,,,Year 4
270,Charlie,Brown,alice323@college.edu,123-456-7890,CS,Year 2
271,Fiona,Johnson,diana930@college.edu,234-567-8901,Biology,Year 4
272,Hannah,Brown,diana671@university.edu,345-678-9012,Biology,Year 2
273,Hannah,Brown,diana321@university.edu,123-456-7890,Math,Year 1
274,Hannah,Jones,charlie377@college.edu,,Math,Year 1
275,Alice,Smith,alice963@college.edu,234-567-8901,Math,Year 4
276,Diana,Smith,diana341@college.edu,123-456-7890,Biology,Year 4
277,Alice,Williams,alice830@college.edu,,CS,Year 1
278,Fiona,Jones,alice116@college.edu,234-567-8901,CS,Year 2
279,Alice,Brown,charlie500@college.edu,,Math,Year 1
280,Bob,Smith,diana985@university.edu,234-567-8901,,Year 4
281,Diana,Brown,diana121@college.edu,345-678-9012,CS,Year 1
282,Diana,Smith,alice219@university.edu,123-456-7890,Biology,Year 4
283,Fiona,Smith,bob309@college.edu,,Physics,Year 4
284,George,Smith,charlie369@college.edu,234-567-8901,Physics,Year 1
285,Bob,Jones,charlie786@university.edu,,Physics,Year 2
286,Charlie,Johnson,charlie815@college.edu,,,Year 3
287,Alice,Brown,charlie862@university.edu,123-456-7890,Math,Year 1
288,Edward,Jones,diana480@college.edu,345-678-9012,Biology,Year 3
289,Alice,Jones,diana106@university.edu,,,Year 1
290,Hannah,Jones,bob132@college.edu,234-567-8901,Biology,Year 3
291,Alice,Jones,charlie978@university.edu,234-567-8901,Biology,Year 2
292,Charlie,Jones,charlie558@college.edu,345-678-9012,Math,Year 2
293,Alice,Williams,alice637@college.edu,234-567-8901,Physics,Year 1
294,Bob,Brown,diana529@college.edu,345-678-9012,Math,Year 4
295,Bob,Jones,charlie384@college.edu,234-567-8901,,Year 3
296,Diana,Brown,bob198@university.edu,123-456-7890,,Year 4
297,Fiona,Williams,bob588@university.edu,,,Year 4
298,George,Williams,diana370@university.edu,123-456-7890,Math,Year 4
299,Edward,Brown,bob896@university.edu,,Biology,Year 2
300,Hannah,Smith,bob174@college.edu,,Biology,Year 1
301,Alice,Johnson,diana899@college.edu,,CS,Year 1
302,Alice,Smith,charlie786@college.edu,123-456-7890,,Year 2
303,Charlie,Smith,charlie183@college.edu,,Biology,Year 2
304,Fiona,Smith,bob558@university.edu,123-456-7890,CS,Year 1
305,Bob,Jones,bob806@university.edu,345-678-9012,Biology,Year 4
306,Edward,Williams,charlie481@college.edu,234-567-8901,,Year 3
307,Diana,Smith,diana539@college.edu,234-567-8901,Physics,Year 3
308,Bob,Williams,bob120@university.edu,,,Year 3
309,Hannah,Brown,alice968@university.edu,123-456-7890,Math,Year 4
310,Fiona,Johnson,diana183@college.edu,234-567-8901,Biology,Year 1
311,Hannah,Brown,bob758@university.edu,123-456-7890,Biology,Year 2
312,George,Brown,bob552@university.edu,123-456-7890,Math,Year 1
313,Diana,Jones,alice606@university.edu,,Math,Year 4
314,George,Johnson,alice669@college.edu,234-567-8901,Physics,Year 2
315,Charlie,Brown,charlie626@college.edu,,Biology,Year 4
316,Hannah,Brown,diana262@college.edu,,Biology,Year 3
317,Charlie,Johnson,diana892@college.edu,234-567-8901,Physics,Year 3
318,Alice,Johnson,charlie623@college.edu,234-567-8901,CS,Year 4
319,George,Brown,diana370@college.edu,345-678-9012,Physics,Year 2
320,Fiona,Johnson,diana307@university.edu,345-678-9012,,Year 2
321,Hannah,Brown,diana683@college.edu,123-456-7890,Biology,Year 1
322,Edward,Brown,diana529@university.edu,234-567-8901,Math,Year 3
323,Diana,Jones,diana756@university.edu,345-678-9012,,Year 1
324,Bob,Smith,alice408@college.edu,123-456-7890,Biology,Year 1
325,Fiona,Brown,diana690@university.edu,123-456-7890,Physics,Year 4
326,Fiona,Williams,alice785@college.edu,123-456-7890,,Year 4
327,Charlie,Smith,diana298@university.edu,345-678-9012,Biology,Year 1
328,George,Smith,charlie448@college.edu,234-567-8901,CS,Year 3
329,Hannah,Smith,bob792@college.edu,,CS,Year 4
330,Hannah,Jones,alice927@college.edu,123-456-7890,Math,Year 1
331,Alice,Brown,diana998@college.edu,345-678-9012,Biology,Year 1
332,Alice,Jones,charlie657@university.edu,345-678-9012,CS,Year 1
333,Diana,Brown,bob252@college.edu,,Physics,Year 1
334,Charlie,Jones,alice305@university.edu,,Biology,Year 1
335,Fiona,Jones,bob372@college.edu,345-678-9012,Physics,Year 1
336,Hannah,Williams,charlie335@college.edu,234-567-8901,Physics,Year 4
337,Edward,Jones,alice839@university.edu,,CS,Year 3
338,Charlie,Johnson,bob777@college.edu,345-678-9012,Biology,Year 1
339,Diana,Williams,diana930@college.edu,,,Year 2
340,Diana,Jones,alice600@university.edu,234-567-8901,CS,Year 4
341,Charlie,Smith,bob485@college.edu,123-456-7890,CS,Year 4
342,Diana,Johnson,charlie683@university.edu,,Biology,Year 1
343,Charlie,Johnson,charlie163@university.edu,234-567-8901,Biology,Year 4
344,Bob,Johnson,alice820@college.edu,345-678-9012,Physics,Year 1
345,Charlie,Williams,bob888@college.edu,,Biology,Year 3
346,George,Jones,alice419@college.edu,,Physics,Year 3
347,Charlie,Jones,alice465@university.edu,345-678-9012,CS,Year 4
348,Diana,Smith,bob706@college.edu,123-456-7890,Math,Year 4
349,Hannah,Smith,bob643@university.edu,345-678-9012,,Year 2
350,George,Johnson,diana400@university.edu,,CS,Year 4
351,Diana,Smith,bob900@college.edu,345-678-9012,Biology,Year 2
352,Alice,Williams,charlie201@university.edu,234-567-8901,,Year 3
353,Alice,Jones,alice491@university.edu,345-678-9012,Math,Year 3
354,Hannah,Johnson,alice313@university.edu,,Math,Year 1
355,Hannah,Smith,charlie187@university.edu,345-678-9012,Physics,Year 3
356,George,Williams,bob500@college.edu,123-456-7890,,Year 2
357,Bob,Williams,charlie988@college.edu,345-678-9012,Physics,Year 4
358,Hannah,Smith,charlie771@university.edu,123-456-7890,CS,Year 1
359,Alice,Jones,diana691@college.edu,234-567-8901,,Year 2
360,Charlie,Smith,charlie185@college.edu,123-456-7890,CS,Year 4
361,Diana,Johnson,alice759@university.edu,345-678-9012,Physics,Year 1
362,Alice,Smith,charlie813@college.edu,,,Year 3
363,Alice,Williams,alice341@college.edu,123-456-7890,Physics,Year 2
364,Bob,Smith,alice964@college.edu,234-567-8901,,Year 4
365,George,Jones,alice324@university.edu,123-456-7890,Physics,Year 1
366,George,Brown,bob844@university.edu,123-456-7890,Math,Year 1
367,Fiona,Smith,diana688@college.edu,123-456-7890,Physics,Year 3
368,Bob,Jones,alice765@college.edu,234-567-8901,Math,Year 4
369,Charlie,Jones,alice202@college.edu,345-678-9012,Physics,Year 3
370,George,Williams,bob265@university.edu,123-456-7890,,Year 3
371,Diana,Jones,alice189@college.edu,123-456-7890,,Year 4
372,Hannah,Jones,charlie221@college.edu,,,Year 4
373,Bob,Jones,charlie242@college.edu,234-567-8901,Biology,Year 4
374,Hannah,Jones,diana205@university.edu,123-456-7890,CS,Year 2
375,Alice,Johnson,alice527@university.edu,234-567-8901,,Year 4
376,Diana,Johnson,bob971@university.edu,123-456-7890,Math,Year 1
377,Diana,Williams,charlie416@university.edu,345-678-9012,,Year 3
378,Alice,Smith,bob734@college.edu,345-678-9012,Biology,Year 2
379,Bob,Jones,bob108@college.edu,123-456-7890,Math,Year 4
380,Alice,Smith,charlie172@university.edu,345-678-9012,Biology,Year 2
381,Hannah,Smith,bob322@college.edu,123-456-7890,Math,Year 4
382,Fiona,Williams,charlie652@college.edu,345-678-9012,Physics,Year 2
383,Diana,Jones,bob815@college.edu,,CS,Year 3
384,Edward,Jones,charlie939@college.edu,,CS,Year 3
385,Edward,Brown,alice959@college.edu,,Biology,Year 1
386,Hannah,Smith,diana183@college.edu,234-567-8901,CS,Year 1
387,Charlie,Smith,charlie210@university.edu,234-567-8901,Biology,Year 4
388,George,Johnson,charlie482@university.edu,,Biology,Year 3
389,Alice,Brown,diana558@college.edu,234-567-8901,Biology,Year 2
390,Alice,Johnson,charlie307@college.edu,345-678-9012,CS,Year 2
391,Charlie,Johnson,charlie489@college.edu,123-456-7890,Biology,Year 2
392,Charlie,Johnson,bob121@college.edu,123-456-7890,CS,Year 1
393,Hannah,Williams,diana994@university.edu,123-456-7890,Biology,Year 2
394,Hannah,Williams,alice226@university.edu,,,Year 1
395,Charlie,Johnson,charlie799@college.edu,234-567-8901,Biology,Year 1
396,Diana,Brown,diana113@university.edu,345-678-9012,Math,Year 4
397,Hannah,Smith,bob111@university.edu,345-678-9012,Biology,Year 2
398,Fiona,Brown,alice623@university.edu,,Physics,Year 2
399,Hannah,Jones,diana636@university.edu,345-678-9012,Biology,Year 3
400,Alice,Williams,alice342@college.edu,345-678-9012,Math,Year 4
401,Hannah,Smith,alice246@university.edu,345-678-9012,Math,Year 3
402,Diana,Smith,alice849@college.edu,345-678-9012,CS,Year 4
403,Charlie,Jones,charlie784@college.edu,234-567-8901,,Year 2
404,Alice,Jones,charlie832@university.edu,345-678-9012,Biology,Year 1
405,Hannah,Johnson,bob408@university.edu,123-456-7890,CS,Year 1
406,Diana,Williams,bob387@university.edu,,,Year 1
407,Fiona,Williams,diana911@college.edu,234-567-8901,Biology,Year 1
408,Hannah,Brown,bob822@college.edu,345-678-9012,Physics,Year 1
409,Diana,Johnson,alice648@college.edu,234-567-8901,Biology,Year 3
410,Fiona,Johnson,alice411@university.edu,345-678-9012,Math,Year 4
411,Charlie,Johnson,charlie158@university.edu,123-456-7890,Math,Year 2
412,Hannah,Johnson,alice813@university.edu,,Physics,Year 3
413,Fiona,Williams,diana134@university.edu,345-678-9012,CS,Year 4
414,Alice,Williams,alice192@college.edu,345-678-9012,,Year 1
415,Charlie,Johnson,alice306@university.edu,345-678-9012,Biology,Year 4
416,Alice,Brown,diana431@university.edu,345-678-9012,Math,Year 4
417,Edward,Smith,bob961@university.edu,,CS,Year 1
418,Bob,Smith,bob258@college.edu,,Physics,Year 1
419,Hannah,Brown,diana123@college.edu,123-456-7890,Math,Year 1
420,Fiona,Johnson,charlie904@college.edu,,Physics,Year 2
421,Bob,Williams,alice831@college.edu,345-678-9012,Biology,Year 1
422,Bob,Smith,diana481@college.edu,123-456-7890,,Year 2
